ra,dec,name
3.4835,-18.90181,SHBLJ001355-185406
8.39317,-19.35914,KUV00311-1938
8.96925,59.83453,1ES0033+595
18.02425,22.74411,S20109+22
24.13579,39.09978,RGBJ0136+391
28.165,1.78811,RGBJ0152+0171
33.57471,51.74778,TXS0210+515
35.27275,35.93714,S30218+35
35.66504,43.0355,3C66A
38.20254,20.28814,1ES0229+200
39.63537,-31.28283,1RXSJ023832.6-311658
45.86042,-24.11983,PKS0301-243
49.17908,41.32489,IC310
49.95067,41.51169,NGC1275
49.96584,18.75958,RBS0413
57.15892,-27.82044,PKS0346-27
57.34666,-11.99083,1ES0347-121
64.21871,1.08997,1ES0414+009
72.35292,-43.83583,PKS0447-439
76.98438,67.62344,1ES0502+675
77.35817,5.69314,TXS0506+056
80.44154,21.21431,VERJ0521+211
87.66904,-32.27147,PKS0548-322
96.77805,-35.48759,PKS0625-35
102.19854,15.27356,RXJ0648.7+1516
102.69366,25.04989,1ES0647+250
107.62521,59.13894,RGBJ0710+591
110.47271,71.34344,S50716+714
113.36163,51.89886,PGC2402248
114.82513,1.61794,PKS0736+017
122.45496,52.31622,1ES0806+524
131.80388,11.56397,RBS0723
133.70366,20.10855,OJ287
136.22159,-57.58495,PKS0903-57
138.2507,-21.05581,MRC0910-208
149.69687,65.56522,S40954+65
152.56659,-31.31903,1RXSJ101015.9-311909
153.76726,49.43353,1ES1011+496
164.62454,28.29617,GB6J1058+2817
165.90675,-23.49194,1ES1101-232
166.1138,38.20883,MKN421
174.11005,70.15759,MKN180
174.12541,67.61789,RXJ1136.5+6737
176.27087,19.60632,3C264
179.88263,29.2455,TON599
184.467,30.11683,1ES1215+303
185.34142,30.17697,1ES1218+304
185.38205,28.23292,ON231
186.10075,24.60653,MS1221.8+2452
186.22691,21.37955,4C+21.35
187.5587,25.30197,S31227+25
187.70593,12.39112,M87
194.04654,-5.78931,3C279
198.76413,-42.61381,1ES1312-423
201.36508,-43.01911,CentaurusA
213.99507,13.33992,PKS1413+135
215.62659,32.38622,B21420+32
216.75163,23.8,PKS1424+240
217.13608,42.67239,H1426+428
220.98705,25.02903,PKS1441+25
220.9883,-39.14436,PKS1440-389
228.21054,-9.09994,PKS1510-089
229.42421,-24.37208,APLib
229.51495,-27.52531,TXS1515-273
238.92934,11.19011,PG1553+113
253.46759,39.76017,MKN501
261.26816,11.87089,H1722+119
262.07761,50.21959,1ES1727+502
267.88675,9.65019,OT081
273.39667,31.73825,B21811+31
295.98434,21.30636,HESSJ1943+213
299.56213,-30.18658,1RXSJ195815.6-301119
299.99942,65.14853,1ES1959+650
300.30362,43.88133,MAGICJ2001+435
302.35577,-48.83158,PKS2005-489
309.84793,52.33052,1ES2037+521
314.17786,49.66819,RGBJ2056+496
329.71698,-30.22558,PKS2155-304
330.68039,42.27778,BLLac
340.97806,20.35108,RGBJ2243+203
342.52399,38.41031,B32247+381
351.18542,-40.68083,1ES2322-409
356.77017,51.70497,1ES2344+514
359.78296,-30.62817,H2356-309
